BilledAmt,Date
600,1/1/2012
2100,1/1/2012
300,1/1/2012
300,1/1/2012
150,1/1/2012
3000,1/1/2012
225,1/1/2012
150,1/1/2012
600,1/1/2012
1575,1/1/2012
1575,1/1/2012
150,1/1/2012
600,1/1/2012
2475,1/1/2012
375,1/1/2012
300,1/1/2012
150,1/1/2012
525,1/1/2012
450,1/1/2012
375,1/1/2012
300,1/1/2012
225,1/1/2012
150,1/1/2012
525,1/1/2012
1500,1/1/2012
225,1/1/2012
150,1/1/2012
75,1/1/2012
300,1/1/2012
600,1/1/2012
900,1/1/2012
75,1/1/2012
375,1/1/2012
150,1/1/2012
375,1/1/2012
750,1/1/2012
1500,1/1/2012
675,1/1/2012
75,1/1/2012
1200,1/1/2012
150,1/1/2012
525,1/1/2012
375,1/1/2012
1500,1/1/2012
450,1/1/2012
600,1/1/2012
600,1/1/2012
300,1/1/2012
1050,1/1/2012
1200,1/2/2012
1500,1/2/2012
375,1/2/2012
900,1/2/2012
1650,1/2/2012
600,1/2/2012
2100,1/2/2012
600,1/2/2012
2400,1/2/2012
975,1/2/2012
375,1/2/2012
150,1/2/2012
300,1/2/2012
300,1/2/2012
1500,1/2/2012
600,1/2/2012
225,1/2/2012
450,1/2/2012
300,1/2/2012
1050,1/2/2012
150,1/2/2012
225,1/2/2012
1500,1/2/2012
150,1/2/2012
3600,1/2/2012
1050,1/2/2012
150,1/2/2012
1350,1/2/2012
150,1/2/2012
300,1/2/2012
750,1/2/2012
225,1/2/2012
300,1/2/2012
750,1/2/2012
675,1/2/2012
3150,1/2/2012
150,1/2/2012
600,1/2/2012
450,1/2/2012
525,1/2/2012
450,1/2/2012
450,1/2/2012
150,1/2/2012
525,1/2/2012
1500,1/2/2012
225,1/2/2012
600,1/2/2012
600,1/2/2012
1350,1/2/2012
1050,1/2/2012
750,1/2/2012
225,1/2/2012
1500,1/2/2012
225,1/2/2012
750,1/2/2012
150,1/2/2012
375,1/2/2012
300,1/2/2012
300,1/2/2012
750,1/2/2012
75,1/2/2012
450,1/2/2012
750,1/2/2012
150,1/2/2012
225,1/2/2012
750,1/2/2012
750,1/2/2012
300,1/2/2012
450,1/2/2012
300,1/2/2012
3375,1/2/2012
1200,1/2/2012
150,1/2/2012
2100,1/3/2012
525,1/3/2012
150,1/3/2012
1200,1/3/2012
3600,1/3/2012
300,1/3/2012
2100,1/3/2012
1200,1/3/2012
525,1/3/2012
150,1/3/2012
150,1/3/2012
1500,1/3/2012
150,1/3/2012
450,1/3/2012
225,1/3/2012
750,1/3/2012
225,1/3/2012
900,1/3/2012
75,1/3/2012
150,1/3/2012
900,1/3/2012
225,1/3/2012
150,1/3/2012
375,1/3/2012
75,1/3/2012
225,1/3/2012
525,1/3/2012
450,1/3/2012
300,1/3/2012
450,1/3/2012
525,1/3/2012
525,1/3/2012
1050,1/3/2012
2025,1/3/2012
600,1/3/2012
750,1/3/2012
